Date,symbol,side,price,quantity,sl,tp
0,AAVE/USD,BUY,,1.0,292.3497301010085,
1,ETH/USD,BUY,,1.0,4376.308203203716,
2,SOL/USD,BUY,,1.0,231.24397424022152,
3,AAVE/USD,BUY,,1.0,291.12273010100853,
4,ETH/USD,BUY,,1.0,4365.2298698703835,
5,SOL/USD,BUY,,1.0,230.24460757355484,
6,AAVE/USD,BUY,,1.0,294.6112301010085,
7,ETH/USD,BUY,,1.0,4389.3323698703825,
8,SOL/USD,BUY,,1.0,231.8392409068882,
2025-09-19 16:26:03.135283+01:00,AAVE/USD,sell,301.5845,62.09443787727818,0.0,0.0
2025-09-19 16:26:11.381310+01:00,ETH/USD,sell,4461.116,4.264715376152514,0.0,0.0
2025-09-19 16:26:20.801382+01:00,SOL/USD,sell,237.7,98.72082456878418,0.0,0.0
